treatment,replicate,update,environment,population_size,genotype_diversity,0000,0001,0010,0011,0100,0101,0110,0111,1000,1001,1010,1011,1100,1101,1110,1111
baseline-unrestricted,4,0,nand+not-,1,0.000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baseline-unrestricted,4,1000,nand+not-,3598,7.853756,3598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baseline-unrestricted,4,10000,nand+not-,3598,7.817968,3463,0,0,0,0,132,0,0,0,0,3,0,0,0,0,0
baseline-unrestricted,4,100000,nand+not-,3589,7.942535,896,13,4,2,0,147,0,1,7,2339,106,10,0,27,0,37
baseline-unrestricted,4,11000,nand+not-,3599,7.802378,3428,0,0,0,0,160,0,0,0,0,11,0,0,0,0,0
baseline-unrestricted,4,12000,nand+not-,3598,7.820706,3361,0,0,0,0,217,0,0,0,0,20,0,0,0,0,0
baseline-unrestricted,4,13000,nand+not-,3599,7.816838,3364,0,0,0,0,204,0,0,0,0,31,0,0,0,0,0
baseline-unrestricted,4,14000,nand+not-,3600,7.843786,3472,0,0,0,0,101,0,0,0,0,27,0,0,0,0,0
baseline-unrestricted,4,15000,nand+not-,3598,7.834663,3326,0,0,0,0,264,0,0,0,0,8,0,0,0,0,0
baseline-unrestricted,4,16000,nand+not-,3597,7.858223,3373,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0
baseline-unrestricted,4,17000,nand+not-,3599,7.865700,3447,0,0,0,0,150,0,0,0,0,2,0,0,0,0,0
baseline-unrestricted,4,18000,nand+not-,3600,7.856198,3414,0,0,0,0,158,0,0,0,0,24,0,0,0,0,4
baseline-unrestricted,4,19000,nand+not-,3597,7.884237,3502,0,0,0,0,92,0,0,0,0,1,0,0,0,0,2
baseline-unrestricted,4,2000,nand+not-,3596,7.863402,3582,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1
baseline-unrestricted,4,20000,nand+not-,3600,7.879453,3444,0,0,0,0,146,0,0,0,0,10,0,0,0,0,0
baseline-unrestricted,4,21000,nand+not-,3598,7.871099,3416,0,0,0,0,181,0,0,0,0,1,0,0,0,0,0
baseline-unrestricted,4,22000,nand+not-,3600,7.862051,3298,0,0,0,0,286,0,0,0,0,16,0,0,0,0,0
baseline-unrestricted,4,23000,nand+not-,3600,7.852798,3460,0,0,0,0,136,0,0,0,0,4,0,0,0,0,0
baseline-unrestricted,4,24000,nand+not-,3600,7.874053,3275,0,0,0,0,263,0,0,0,0,61,0,0,0,0,1
baseline-unrestricted,4,25000,nand+not-,3600,7.887711,3101,0,0,0,0,395,0,0,0,0,97,0,0,0,0,7
baseline-unrestricted,4,26000,nand+not-,3600,7.886508,3350,0,0,0,0,215,0,0,0,0,34,0,0,0,0,1
baseline-unrestricted,4,27000,nand+not-,3600,7.880125,3441,0,0,0,0,156,0,0,0,0,3,0,0,0,0,0
baseline-unrestricted,4,28000,nand+not-,3600,7.878503,3375,0,0,0,0,217,0,0,0,0,7,0,0,0,0,1
baseline-unrestricted,4,29000,nand+not-,3600,7.887369,3022,0,0,0,0,529,0,0,0,0,39,0,0,0,0,10
baseline-unrestricted,4,3000,nand+not-,3599,7.852724,3591,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
baseline-unrestricted,4,30000,nand+not-,3592,7.835801,2204,0,0,0,0,802,0,0,0,0,580,0,0,0,0,6
baseline-unrestricted,4,31000,nand+not-,3581,7.812811,2135,0,0,0,0,843,0,0,0,0,601,0,0,0,0,2
baseline-unrestricted,4,32000,nand+not-,3577,7.783195,1613,0,0,0,0,765,0,0,0,0,1168,0,0,0,0,31
baseline-unrestricted,4,33000,nand+not-,3523,7.793453,1526,0,0,0,0,1036,0,0,0,0,934,0,0,0,0,27
baseline-unrestricted,4,34000,nand+not-,3569,7.807891,2376,0,0,0,0,878,0,0,0,0,310,0,0,0,0,5
baseline-unrestricted,4,35000,nand+not-,3578,7.790581,2307,0,0,0,0,916,0,0,0,0,346,0,0,0,0,9
baseline-unrestricted,4,36000,nand+not-,3497,7.755565,1171,0,0,0,0,1409,0,0,0,0,891,0,0,0,0,26
baseline-unrestricted,4,37000,nand+not-,3451,7.852239,811,0,0,0,0,1347,0,0,0,0,1213,0,0,0,0,80
baseline-unrestricted,4,38000,nand+not-,3475,7.823284,703,0,0,0,0,1423,0,0,0,0,1330,0,0,0,0,19
baseline-unrestricted,4,39000,nand+not-,3503,7.886619,773,0,0,0,0,1201,0,0,0,0,1504,0,0,0,0,25
baseline-unrestricted,4,4000,nand+not-,3599,7.839464,3595,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
baseline-unrestricted,4,40000,nand+not-,3467,7.889142,913,0,0,0,0,1043,0,0,0,0,1467,0,0,0,0,44
baseline-unrestricted,4,41000,nand+not-,3488,7.859684,958,0,0,0,0,1479,0,0,0,0,997,0,0,0,2,52
baseline-unrestricted,4,42000,nand+not-,3509,7.841619,1036,0,0,0,0,1375,0,0,0,0,1072,0,0,0,0,26
baseline-unrestricted,4,43000,nand+not-,3485,7.794745,1026,0,0,0,0,1296,0,0,0,0,1112,0,0,0,0,51
baseline-unrestricted,4,44000,nand+not-,3428,7.828023,966,0,0,0,0,1541,0,0,0,0,862,0,0,0,0,59
baseline-unrestricted,4,45000,nand+not-,3484,7.842864,917,0,0,0,0,954,0,0,0,0,1564,0,0,0,0,49
baseline-unrestricted,4,46000,nand+not-,3473,7.814263,978,0,0,0,1,1100,0,0,0,0,1368,0,0,0,0,26
baseline-unrestricted,4,47000,nand+not-,3458,7.803102,977,0,0,0,3,1140,0,0,0,0,1268,0,0,0,0,70
baseline-unrestricted,4,48000,nand+not-,3492,7.856058,1147,0,0,0,0,1307,0,0,0,0,994,0,0,0,0,44
baseline-unrestricted,4,49000,nand+not-,3481,7.847344,830,0,0,0,0,1625,0,0,0,0,992,0,0,0,0,34
baseline-unrestricted,4,5000,nand+not-,3598,7.808176,3555,0,0,0,0,37,0,0,0,0,6,0,0,0,0,0
baseline-unrestricted,4,50000,nand+not-,3449,7.811938,745,0,0,0,0,1775,0,0,0,0,909,0,0,0,0,20
baseline-unrestricted,4,51000,nand+not-,3412,7.754419,812,0,0,0,0,1717,0,0,0,0,848,0,0,0,0,35
baseline-unrestricted,4,52000,nand+not-,3420,7.807568,741,0,0,0,0,1490,0,0,0,0,1161,0,0,0,0,28
baseline-unrestricted,4,53000,nand+not-,3465,7.876499,763,0,0,0,0,1497,0,0,0,0,1178,0,0,0,0,27
baseline-unrestricted,4,54000,nand+not-,3442,7.873157,769,0,0,0,0,1357,0,0,0,0,1300,0,0,0,0,16
baseline-unrestricted,4,55000,nand+not-,3394,7.849005,725,0,0,0,0,1326,0,0,0,0,1309,0,0,0,0,34
baseline-unrestricted,4,56000,nand+not-,3464,7.792244,753,0,0,0,0,1213,0,0,0,0,1463,0,0,0,0,35
baseline-unrestricted,4,57000,nand+not-,3480,7.822425,615,0,0,0,0,1510,0,0,0,0,1335,0,0,0,0,20
baseline-unrestricted,4,58000,nand+not-,3503,7.828613,638,0,0,0,0,1837,0,0,0,0,1006,0,0,0,0,22
baseline-unrestricted,4,59000,nand+not-,3478,7.775925,650,0,0,0,0,1409,0,0,0,0,1391,0,0,0,0,28
baseline-unrestricted,4,6000,nand+not-,3600,7.787982,3575,1,0,0,0,24,0,0,0,0,0,0,0,0,0,0
baseline-unrestricted,4,60000,nand+not-,3530,7.746702,599,22,1,0,5,956,1,3,0,597,1283,7,0,28,4,24
baseline-unrestricted,4,61000,nand+not-,3578,7.780788,774,8,1,0,3,207,1,7,8,2285,183,25,0,34,1,41
baseline-unrestricted,4,62000,nand+not-,3586,7.818661,777,29,0,0,3,193,3,8,15,2271,177,25,0,26,0,59
baseline-unrestricted,4,63000,nand+not-,3587,7.781922,769,27,2,0,1,184,0,11,6,2304,188,14,0,40,1,40
baseline-unrestricted,4,64000,nand+not-,3581,7.807966,800,32,0,1,1,207,2,3,10,2198,207,21,0,43,1,55
baseline-unrestricted,4,65000,nand+not-,3584,7.791950,804,35,1,0,4,177,2,9,4,2285,171,20,0,35,1,36
baseline-unrestricted,4,66000,nand+not-,3587,7.807614,817,19,6,0,6,160,2,10,5,2282,169,25,0,32,0,54
baseline-unrestricted,4,67000,nand+not-,3590,7.813530,789,27,5,0,2,177,4,9,5,2243,192,28,1,61,1,46
baseline-unrestricted,4,68000,nand+not-,3588,7.796513,811,22,2,0,0,167,0,19,9,2291,171,23,0,39,0,34
baseline-unrestricted,4,69000,nand+not-,3585,7.813622,816,15,0,0,7,185,2,8,7,2295,145,14,0,38,1,52
baseline-unrestricted,4,7000,nand+not-,3598,7.831994,3523,0,0,0,0,71,0,0,0,0,4,0,0,0,0,0
baseline-unrestricted,4,70000,nand+not-,3587,7.861366,859,16,5,1,1,138,1,6,9,2274,164,18,0,42,0,53
baseline-unrestricted,4,71000,nand+not-,3587,7.859680,878,22,1,0,4,162,1,15,6,2249,162,12,0,30,0,45
baseline-unrestricted,4,72000,nand+not-,3592,7.891223,935,23,3,1,4,133,1,10,4,2220,135,18,0,61,0,44
baseline-unrestricted,4,73000,nand+not-,3580,7.875827,921,13,2,0,2,152,1,6,10,2258,130,9,0,28,0,48
baseline-unrestricted,4,74000,nand+not-,3578,7.876733,900,13,1,0,5,139,3,6,1,2264,158,10,0,18,0,60
baseline-unrestricted,4,75000,nand+not-,3585,7.892675,924,12,1,1,4,129,0,6,12,2260,141,22,0,36,0,37
baseline-unrestricted,4,76000,nand+not-,3586,7.888898,944,13,6,0,4,131,1,6,7,2242,124,9,1,35,2,61
baseline-unrestricted,4,77000,nand+not-,3591,7.891274,880,20,3,0,3,128,2,8,16,2334,120,17,0,14,0,46
baseline-unrestricted,4,78000,nand+not-,3595,7.876396,901,24,6,1,1,159,2,11,10,2261,120,21,0,35,2,41
baseline-unrestricted,4,79000,nand+not-,3593,7.868457,937,6,7,0,0,174,1,9,9,2222,114,19,1,41,0,53
baseline-unrestricted,4,8000,nand+not-,3600,7.832856,3542,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0
baseline-unrestricted,4,80000,nand+not-,3585,7.912065,912,9,1,0,3,159,2,9,8,2270,102,33,0,25,0,52
baseline-unrestricted,4,81000,nand+not-,3591,7.909954,941,12,6,1,1,180,0,13,10,2207,119,35,0,37,0,29
baseline-unrestricted,4,82000,nand+not-,3586,7.904278,928,14,2,1,5,144,0,10,10,2250,130,32,0,23,0,37
baseline-unrestricted,4,83000,nand+not-,3585,7.921439,887,14,3,0,1,146,3,17,10,2246,132,41,0,40,2,43
baseline-unrestricted,4,84000,nand+not-,3594,7.928361,898,18,4,0,0,127,2,9,8,2319,96,23,0,44,0,46
baseline-unrestricted,4,85000,nand+not-,3589,7.917718,899,14,6,2,3,126,0,7,5,2306,117,29,1,35,0,39
baseline-unrestricted,4,86000,nand+not-,3586,7.947554,918,8,5,3,3,163,0,11,14,2225,101,29,2,58,1,45
baseline-unrestricted,4,87000,nand+not-,3585,7.953235,964,18,8,0,3,144,2,5,11,2228,94,12,1,46,0,49
baseline-unrestricted,4,88000,nand+not-,3586,7.924876,929,10,4,1,0,146,0,1,11,2308,94,12,1,28,0,41
baseline-unrestricted,4,89000,nand+not-,3589,7.922178,909,15,4,1,1,133,1,5,10,2306,110,11,1,48,0,34
baseline-unrestricted,4,9000,nand+not-,3599,7.812205,3583,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
baseline-unrestricted,4,90000,nand+not-,3593,7.949133,887,18,2,0,2,125,0,4,12,2348,99,10,4,39,0,43
baseline-unrestricted,4,91000,nand+not-,3586,7.941249,933,16,4,1,2,118,3,7,17,2297,110,11,1,24,0,42
baseline-unrestricted,4,92000,nand+not-,3590,7.943000,867,11,5,2,2,134,0,5,11,2362,92,17,0,41,0,41
baseline-unrestricted,4,93000,nand+not-,3580,7.952162,909,15,7,4,0,164,1,2,13,2256,88,18,2,50,0,51
baseline-unrestricted,4,94000,nand+not-,3589,7.947032,927,14,4,1,2,155,0,5,14,2303,88,15,0,19,0,42
baseline-unrestricted,4,95000,nand+not-,3591,7.949534,953,14,1,1,3,140,0,3,9,2254,113,20,1,25,0,54
baseline-unrestricted,4,96000,nand+not-,3589,7.950007,956,25,1,0,1,103,0,6,14,2319,83,32,1,18,0,30
baseline-unrestricted,4,97000,nand+not-,3586,7.941876,909,10,3,0,1,134,1,7,16,2329,98,6,1,21,0,50
baseline-unrestricted,4,98000,nand+not-,3580,7.960235,965,13,0,1,0,159,3,3,7,2253,87,8,2,31,0,48
baseline-unrestricted,4,99000,nand+not-,3585,7.942752,896,13,3,0,3,142,0,1,13,2326,95,6,0,22,0,65
baseline-unrestricted,15,0,nand+not-,1,0.000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baseline-unrestricted,15,1000,nand+not-,3600,7.839521,3597,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
baseline-unrestricted,15,10000,nand+not-,3598,7.840183,3480,0,0,0,0,116,0,0,0,0,2,0,0,0,0,0
baseline-unrestricted,15,100000,nand+not-,3430,7.886682,772,1336,0,0,6,131,0,0,164,0,420,586,0,0,0,15
baseline-unrestricted,15,11000,nand+not-,3599,7.835659,3435,0,0,0,0,144,0,0,0,0,19,0,0,0,0,1
baseline-unrestricted,15,12000,nand+not-,3599,7.828438,3188,0,0,0,0,359,0,0,0,0,47,0,0,0,0,5
baseline-unrestricted,15,13000,nand+not-,3599,7.879461,2875,0,0,0,0,655,0,0,0,0,62,0,0,0,0,7
baseline-unrestricted,15,14000,nand+not-,3589,7.883316,2750,0,0,0,0,364,0,0,0,0,431,0,0,0,0,44
baseline-unrestricted,15,15000,nand+not-,3552,7.917845,2135,0,0,0,0,599,0,0,0,0,791,3,0,0,0,24
baseline-unrestricted,15,16000,nand+not-,3522,7.874108,2023,1,0,0,0,611,0,0,0,0,871,0,0,0,0,16
baseline-unrestricted,15,17000,nand+not-,3485,7.809585,1283,0,0,0,0,1178,0,0,0,0,1024,0,0,0,0,0
baseline-unrestricted,15,18000,nand+not-,3510,7.903379,1454,1,0,0,0,727,0,0,0,0,1326,0,0,0,0,2
baseline-unrestricted,15,19000,nand+not-,3466,7.861871,1244,548,0,0,0,758,0,0,0,0,699,199,0,0,0,18
baseline-unrestricted,15,2000,nand+not-,3597,7.840716,3561,0,0,0,0,31,0,0,0,0,2,0,0,0,0,3
baseline-unrestricted,15,20000,nand+not-,3460,7.858396,920,1292,0,0,1,350,0,0,0,0,655,233,0,0,0,9
baseline-unrestricted,15,21000,nand+not-,3390,7.865032,819,1686,0,0,1,36,0,0,0,0,810,32,0,0,0,6
baseline-unrestricted,15,22000,nand+not-,3420,7.861455,810,1451,0,0,3,6,0,1,0,0,1085,54,0,0,0,10
baseline-unrestricted,15,23000,nand+not-,3423,7.886847,814,1576,0,0,5,29,0,0,0,1,719,275,0,0,0,4
baseline-unrestricted,15,24000,nand+not-,3456,7.911763,829,1163,0,0,2,591,0,0,0,0,854,12,0,0,0,5
baseline-unrestricted,15,25000,nand+not-,3422,7.892182,783,944,0,0,0,603,0,0,0,0,1073,11,0,0,0,8
baseline-unrestricted,15,26000,nand+not-,3470,7.935581,742,1479,0,0,4,140,0,0,0,1,1058,43,0,0,0,3
baseline-unrestricted,15,27000,nand+not-,3441,7.913498,810,1491,0,0,12,48,0,0,0,0,843,229,0,0,1,7
