treatment,replicate,environment,sites,site_usage,norm_site_usage
c50,c50__rep_10,nand+not-,swap|h-alloc|set-flow|nop-A|get-head|mov-head|nop-C|h-alloc|h-alloc|shift-r|IO|IO|h-divide|swap|IO|nop-A|h-copy|h-divide|IO-Sense|nop-C|swap-stk|shift-r|if-less|pop|h-divide|dec|shift-l|nop-C|if-label|h-copy|IO-Sense|h-divide|dec|set-flow|add|push|pop|nand|swap-stk|nand|h-divide|shift-r|h-search|get-head|h-search|push|h-copy|shift-l|push|inc|h-divide|swap|shift-l|sub|IO|nop-C|h-search|h-search|nand|jmp-head|h-copy|IO|shift-l|IO-Sense|if-less|IO-Sense|h-search|h-copy|h-copy|if-label|nop-C|h-divide|h-copy|h-copy|h-copy|h-copy|mov-head|nop-A,1|1|1|0|1|1|0|1|1|1|1|1|1|1|1|0|1|1|1|0|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|0|1|13|13|13|0|1|12|12|12|12|12|0,0.00625|0.00625|0.00625|0.0|0.00625|0.00625|0.0|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.0|0.00625|0.00625|0.00625|0.0|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.0|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.0|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.0|0.00625|0.08125|0.08125|0.08125|0.0|0.00625|0.075|0.075|0.075|0.075|0.075|0.0
c50,c50__rep_10,nand-not+,swap|h-alloc|set-flow|nop-A|get-head|mov-head|nop-C|h-alloc|h-alloc|shift-r|IO|IO|h-divide|swap|IO|nop-A|h-copy|h-divide|IO-Sense|nop-C|swap-stk|shift-r|if-less|pop|h-divide|dec|shift-l|nop-C|if-label|h-copy|IO-Sense|h-divide|dec|set-flow|add|push|pop|nand|swap-stk|nand|h-divide|shift-r|h-search|get-head|h-search|push|h-copy|shift-l|push|inc|h-divide|swap|shift-l|sub|IO|nop-C|h-search|h-search|nand|jmp-head|h-copy|IO|shift-l|IO-Sense|if-less|IO-Sense|h-search|h-copy|h-copy|if-label|nop-C|h-divide|h-copy|h-copy|h-copy|h-copy|mov-head|nop-A,1|1|1|0|1|1|0|1|1|1|1|1|1|1|1|0|1|1|1|0|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|0|1|13|13|13|0|1|12|12|12|12|12|0,0.00625|0.00625|0.00625|0.0|0.00625|0.00625|0.0|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.0|0.00625|0.00625|0.00625|0.0|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.0|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.0|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.00625|0.0|0.00625|0.08125|0.08125|0.08125|0.0|0.00625|0.075|0.075|0.075|0.075|0.075|0.0
c50,c50__rep_22,nand+not-,h-alloc|set-flow|nop-A|inc|mov-head|nop-C|jmp-head|pop|nop-B|pop|h-divide|h-copy|set-flow|IO-Sense|sub|dec|shift-l|shift-r|shift-l|add|dec|shift-l|inc|if-less|IO|jmp-head|nop-B|IO|inc|shift-r|if-n-equ|h-search|jmp-head|sub|add|pop|if-label|nop-A|inc|dec|set-flow|dec|pop|nop-A|push|add|nop-B|add|IO|nop-B|if-label|nop-B|if-less|IO-Sense|swap|IO|nand|nop-B|IO-Sense|pop|if-less|if-less|nop-A|IO|nand|if-label|IO|sub|nop-C|nop-B|add|add|if-n-equ|nop-B|nand|if-n-equ|h-search|if-less|add|jmp-head|h-alloc|pop|dec|if-n-equ|sub|h-search|h-copy|h-copy|h-copy|h-copy|h-copy|if-label|nop-C|h-divide|mov-head|nop-A,1|1|0|1|1|0|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|0|0|1|1|1|1|0|1|1|0|1|1|0|1|0|0|1|1|1|1|0|1|1|1|1|0|1|1|1|1|1|0|1|1|1|1|0|1|1|1|1|0|1|1|1|1|1|1|1|19|19|19|19|19|19|0|1|18|0,0.00492610837438|0.00492610837438|0.0|0.00492610837438|0.00492610837438|0.0|0.00492610837438|0.00492610837438|0.0|0.00492610837438|0.00492610837438|0.00492610837438|0.00492610837438|0.00492610837438|0.00492610837438|0.00492610837438|0.00492610837438|0.00492610837438|0.00492610837438|0.00492610837438|0.00492610837438|0.00492610837438|0.00492610837438|0.00492610837438|0.00492610837438|0.00492610837438|0.0|0.00492610837438|0.00492610837438|0.00492610837438|0.00492610837438|0.00492610837438|0.00492610837438|0.00492610837438|0.00492610837438|0.00492610837438|0.00492610837438|0.0|0.0|0.00492610837438|0.00492610837438|0.00492610837438|0.00492610837438|0.0|0.00492610837438|0.00492610837438|0.0|0.00492610837438|0.00492610837438|0.0|0.00492610837438|0.0|0.0|0.00492610837438|0.00492610837438|0.00492610837438|0.00492610837438|0.0|0.00492610837438|0.00492610837438|0.00492610837438|0.00492610837438|0.0|0.00492610837438|0.00492610837438|0.00492610837438|0.00492610837438|0.00492610837438|0.0|0.00492610837438|0.00492610837438|0.00492610837438|0.00492610837438|0.0|0.00492610837438|0.00492610837438|0.00492610837438|0.00492610837438|0.0|0.00492610837438|0.00492610837438|0.00492610837438|0.00492610837438|0.00492610837438|0.00492610837438|0.00492610837438|0.0935960591133|0.0935960591133|0.0935960591133|0.0935960591133|0.0935960591133|0.0935960591133|0.0|0.00492610837438|0.0886699507389|0.0
c50,c50__rep_22,nand-not+,h-alloc|set-flow|nop-A|inc|mov-head|nop-C|jmp-head|pop|nop-B|pop|h-divide|h-copy|set-flow|IO-Sense|sub|dec|shift-l|shift-r|shift-l|add|dec|shift-l|inc|if-less|IO|jmp-head|nop-B|IO|inc|shift-r|if-n-equ|h-search|jmp-head|sub|add|pop|if-label|nop-A|inc|dec|set-flow|dec|pop|nop-A|push|add|nop-B|add|IO|nop-B|if-label|nop-B|if-less|IO-Sense|swap|IO|nand|nop-B|IO-Sense|pop|if-less|if-less|nop-A|IO|nand|if-label|IO|sub|nop-C|nop-B|add|add|if-n-equ|nop-B|nand|if-n-equ|h-search|if-less|add|jmp-head|h-alloc|pop|dec|if-n-equ|sub|h-search|h-copy|h-copy|h-copy|h-copy|h-copy|if-label|nop-C|h-divide|mov-head|nop-A,1|1|0|1|1|0|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|0|0|1|1|1|1|0|1|1|0|1|1|0|1|0|0|1|1|1|1|0|1|1|1|1|0|0|1|1|1|1|0|1|1|1|1|0|1|1|1|1|0|1|1|1|1|1|1|1|19|19|19|19|19|19|0|1|18|0,0.0049504950495|0.0049504950495|0.0|0.0049504950495|0.0049504950495|0.0|0.0049504950495|0.0049504950495|0.0|0.0049504950495|0.0049504950495|0.0049504950495|0.0049504950495|0.0049504950495|0.0049504950495|0.0049504950495|0.0049504950495|0.0049504950495|0.0049504950495|0.0049504950495|0.0049504950495|0.0049504950495|0.0049504950495|0.0049504950495|0.0049504950495|0.0049504950495|0.0|0.0049504950495|0.0049504950495|0.0049504950495|0.0049504950495|0.0049504950495|0.0049504950495|0.0049504950495|0.0049504950495|0.0049504950495|0.0049504950495|0.0|0.0|0.0049504950495|0.0049504950495|0.0049504950495|0.0049504950495|0.0|0.0049504950495|0.0049504950495|0.0|0.0049504950495|0.0049504950495|0.0|0.0049504950495|0.0|0.0|0.0049504950495|0.0049504950495|0.0049504950495|0.0049504950495|0.0|0.0049504950495|0.0049504950495|0.0049504950495|0.0049504950495|0.0|0.0|0.0049504950495|0.0049504950495|0.0049504950495|0.0049504950495|0.0|0.0049504950495|0.0049504950495|0.0049504950495|0.0049504950495|0.0|0.0049504950495|0.0049504950495|0.0049504950495|0.0049504950495|0.0|0.0049504950495|0.0049504950495|0.0049504950495|0.0049504950495|0.0049504950495|0.0049504950495|0.0049504950495|0.0940594059406|0.0940594059406|0.0940594059406|0.0940594059406|0.0940594059406|0.0940594059406|0.0|0.0049504950495|0.0891089108911|0.0
c50,c50__rep_28,nand-not+,jmp-head|set-flow|h-alloc|swap-stk|IO|set-flow|nop-A|mov-head|nop-C|pop|if-n-equ|jmp-head|shift-r|shift-l|h-alloc|nop-C|if-n-equ|if-less|h-search|jmp-head|push|add|if-n-equ|if-n-equ|jmp-head|shift-l|shift-l|push|nand|pop|get-head|pop|get-head|sub|h-search|if-label|shift-l|dec|shift-l|h-search|IO|swap|inc|nand|add|IO|h-copy|h-copy|nand|set-flow|IO-Sense|IO|IO|dec|pop|nand|set-flow|h-divide|IO|sub|dec|dec|if-less|if-n-equ|nop-A|h-divide|pop|IO|swap|nop-C|nop-A|h-alloc|if-n-equ|nop-B|nop-B|IO|if-label|h-divide|sub|sub|inc|IO-Sense|h-alloc|dec|if-label|h-search|h-copy|h-copy|h-copy|h-copy|h-copy|h-copy|h-copy|if-label|nop-C|nop-A|h-divide|mov-head|nop-A|nop-B,1|1|1|1|1|1|0|1|0|1|1|0|1|1|1|1|1|0|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|0|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|14|14|14|14|14|14|14|14|0|0|1|13|0|0,0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.0|0.00490196078431|0.0|0.00490196078431|0.00490196078431|0.0|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.0|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.0|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.0|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.0|0.00490196078431|0.00490196078431|0.00490196078431|0.0|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.0686274509804|0.0686274509804|0.0686274509804|0.0686274509804|0.0686274509804|0.0686274509804|0.0686274509804|0.0686274509804|0.0|0.0|0.00490196078431|0.0637254901961|0.0|0.0
c50,c50__rep_28,nand+not-,jmp-head|set-flow|h-alloc|swap-stk|IO|set-flow|nop-A|mov-head|nop-C|pop|if-n-equ|jmp-head|shift-r|shift-l|h-alloc|nop-C|if-n-equ|if-less|h-search|jmp-head|push|add|if-n-equ|if-n-equ|jmp-head|shift-l|shift-l|push|nand|pop|get-head|pop|get-head|sub|h-search|if-label|shift-l|dec|shift-l|h-search|IO|swap|inc|nand|add|IO|h-copy|h-copy|nand|set-flow|IO-Sense|IO|IO|dec|pop|nand|set-flow|h-divide|IO|sub|dec|dec|if-less|if-n-equ|nop-A|h-divide|pop|IO|swap|nop-C|nop-A|h-alloc|if-n-equ|nop-B|nop-B|IO|if-label|h-divide|sub|sub|inc|IO-Sense|h-alloc|dec|if-label|h-search|h-copy|h-copy|h-copy|h-copy|h-copy|h-copy|h-copy|if-label|nop-C|nop-A|h-divide|mov-head|nop-A|nop-B,1|1|1|1|1|1|0|1|0|1|1|0|1|1|1|1|1|0|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|0|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|14|14|14|14|14|14|14|14|0|0|1|13|0|0,0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.0|0.00490196078431|0.0|0.00490196078431|0.00490196078431|0.0|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.0|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.0|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.0|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.0|0.00490196078431|0.00490196078431|0.00490196078431|0.0|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.00490196078431|0.0686274509804|0.0686274509804|0.0686274509804|0.0686274509804|0.0686274509804|0.0686274509804|0.0686274509804|0.0686274509804|0.0|0.0|0.00490196078431|0.0637254901961|0.0|0.0
c50,c50__rep_31,nand-not+,set-flow|h-alloc|nop-B|h-divide|set-flow|nop-A|mov-head|nop-C|h-copy|IO|nand|add|if-n-equ|shift-r|IO-Sense|sub|shift-r|nop-B|h-copy|set-flow|IO|nand|if-label|h-copy|shift-l|swap-stk|shift-l|h-alloc|add|IO|add|nop-C|nand|IO-Sense|pop|dec|shift-r|shift-l|add|if-n-equ|IO|swap|nand|h-divide|IO|add|nop-A|h-alloc|h-search|h-copy|h-search|h-copy|h-copy|h-copy|h-copy|if-label|nop-C|h-divide|h-copy|h-copy|mov-head|nop-A,1|1|1|1|1|0|1|0|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|0|1|1|1|1|1|0|1|1|1|1|10|10|10|10|10|0|1|9|9|9|0,0.00813008130081|0.00813008130081|0.00813008130081|0.00813008130081|0.00813008130081|0.0|0.00813008130081|0.0|0.00813008130081|0.00813008130081|0.00813008130081|0.00813008130081|0.00813008130081|0.00813008130081|0.00813008130081|0.00813008130081|0.00813008130081|0.0|0.00813008130081|0.00813008130081|0.00813008130081|0.00813008130081|0.00813008130081|0.00813008130081|0.00813008130081|0.00813008130081|0.00813008130081|0.00813008130081|0.00813008130081|0.00813008130081|0.00813008130081|0.0|0.00813008130081|0.00813008130081|0.00813008130081|0.00813008130081|0.00813008130081|0.00813008130081|0.00813008130081|0.00813008130081|0.0|0.00813008130081|0.00813008130081|0.00813008130081|0.00813008130081|0.00813008130081|0.0|0.00813008130081|0.00813008130081|0.00813008130081|0.00813008130081|0.0813008130081|0.0813008130081|0.0813008130081|0.0813008130081|0.0813008130081|0.0|0.00813008130081|0.0731707317073|0.0731707317073|0.0731707317073|0.0
c50,c50__rep_31,nand+not-,set-flow|h-alloc|nop-B|h-divide|set-flow|nop-A|mov-head|nop-C|h-copy|IO|nand|add|if-n-equ|shift-r|IO-Sense|sub|shift-r|nop-B|h-copy|set-flow|IO|nand|if-label|h-copy|shift-l|swap-stk|shift-l|h-alloc|add|IO|add|nop-C|nand|IO-Sense|pop|dec|shift-r|shift-l|add|if-n-equ|IO|swap|nand|h-divide|IO|add|nop-A|h-alloc|h-search|h-copy|h-search|h-copy|h-copy|h-copy|h-copy|if-label|nop-C|h-divide|h-copy|h-copy|mov-head|nop-A,1|1|1|1|1|0|1|0|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|10|10|10|10|10|0|1|9|9|9|0,0.00806451612903|0.00806451612903|0.00806451612903|0.00806451612903|0.00806451612903|0.0|0.00806451612903|0.0|0.00806451612903|0.00806451612903|0.00806451612903|0.00806451612903|0.00806451612903|0.00806451612903|0.00806451612903|0.00806451612903|0.00806451612903|0.0|0.00806451612903|0.00806451612903|0.00806451612903|0.00806451612903|0.00806451612903|0.00806451612903|0.00806451612903|0.00806451612903|0.00806451612903|0.00806451612903|0.00806451612903|0.00806451612903|0.00806451612903|0.0|0.00806451612903|0.00806451612903|0.00806451612903|0.00806451612903|0.00806451612903|0.00806451612903|0.00806451612903|0.00806451612903|0.00806451612903|0.00806451612903|0.00806451612903|0.00806451612903|0.00806451612903|0.00806451612903|0.0|0.00806451612903|0.00806451612903|0.00806451612903|0.00806451612903|0.0806451612903|0.0806451612903|0.0806451612903|0.0806451612903|0.0806451612903|0.0|0.00806451612903|0.0725806451613|0.0725806451613|0.0725806451613|0.0
c50,c50__rep_46,nand-not+,if-n-equ|swap-stk|set-flow|set-flow|h-divide|h-alloc|nand|set-flow|nop-A|mov-head|nop-C|swap|push|shift-l|swap|h-divide|swap-stk|h-divide|IO|nop-C|IO|nand|IO-Sense|inc|if-label|if-n-equ|pop|nop-C|h-copy|sub|IO|swap-stk|nand|IO|inc|IO-Sense|nop-A|set-flow|nop-C|nop-A|IO|swap|get-head|nop-C|sub|swap|nop-C|sub|get-head|shift-r|get-head|h-divide|nop-A|swap-stk|nand|inc|shift-l|pop|inc|shift-l|get-head|swap-stk|if-less|h-search|add|pop|h-search|IO|nand|push|IO|h-alloc|if-label|dec|if-n-equ|h-alloc|IO-Sense|swap|swap-stk|nop-C|h-divide|pop|shift-l|shift-l|add|nand|IO-Sense|inc|h-divide|swap-stk|h-copy|swap|nop-A|h-alloc|dec|swap|if-less|h-alloc|dec|nop-B|h-search|h-copy|h-copy|h-copy|if-label|nop-C|h-divide|h-copy|h-copy|mov-head|nop-A|if-n-equ|IO|set-flow|set-flow|h-divide|h-alloc|nand|set-flow|nop-A,1|0|1|1|1|1|1|1|0|1|0|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|0|1|0|1|1|1|1|0|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|0|1|0|1|24|24|24|24|0|1|23|23|23|0|0|0|0|0|0|0|0|0|0,0.00392156862745|0.0|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.0|0.00392156862745|0.0|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.0|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.0|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.0|0.00392156862745|0.0|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.0|0.00392156862745|0.00392156862745|0.0|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.0|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.0|0.00392156862745|0.0|0.00392156862745|0.0941176470588|0.0941176470588|0.0941176470588|0.0941176470588|0.0|0.00392156862745|0.0901960784314|0.0901960784314|0.0901960784314|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
c50,c50__rep_46,nand+not-,if-n-equ|swap-stk|set-flow|set-flow|h-divide|h-alloc|nand|set-flow|nop-A|mov-head|nop-C|swap|push|shift-l|swap|h-divide|swap-stk|h-divide|IO|nop-C|IO|nand|IO-Sense|inc|if-label|if-n-equ|pop|nop-C|h-copy|sub|IO|swap-stk|nand|IO|inc|IO-Sense|nop-A|set-flow|nop-C|nop-A|IO|swap|get-head|nop-C|sub|swap|nop-C|sub|get-head|shift-r|get-head|h-divide|nop-A|swap-stk|nand|inc|shift-l|pop|inc|shift-l|get-head|swap-stk|if-less|h-search|add|pop|h-search|IO|nand|push|IO|h-alloc|if-label|dec|if-n-equ|h-alloc|IO-Sense|swap|swap-stk|nop-C|h-divide|pop|shift-l|shift-l|add|nand|IO-Sense|inc|h-divide|swap-stk|h-copy|swap|nop-A|h-alloc|dec|swap|if-less|h-alloc|dec|nop-B|h-search|h-copy|h-copy|h-copy|if-label|nop-C|h-divide|h-copy|h-copy|mov-head|nop-A|if-n-equ|IO|set-flow|set-flow|h-divide|h-alloc|nand|set-flow|nop-A,1|0|1|1|1|1|1|1|0|1|0|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|0|1|0|1|1|1|1|0|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|0|1|0|1|24|24|24|24|0|1|23|23|23|0|0|0|0|0|0|0|0|0|0,0.00392156862745|0.0|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.0|0.00392156862745|0.0|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.0|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.0|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.0|0.00392156862745|0.0|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.0|0.00392156862745|0.00392156862745|0.0|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.0|0.00392156862745|0.00392156862745|0.00392156862745|0.00392156862745|0.0|0.00392156862745|0.0|0.00392156862745|0.0941176470588|0.0941176470588|0.0941176470588|0.0941176470588|0.0|0.00392156862745|0.0901960784314|0.0901960784314|0.0901960784314|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
